,Column_1,Column_2,Column_3
43,kyle_chap17,KelleyMac1,Reply
44,kyle_chap17,AaronParnas,Reply
45,kyle_chap17,TerryMcAuliffe,Reply
46,Retired_Cop1019,Chicago1Ray,Retweet
47,Chicago1Ray,Chicago1Ray,Tweet
48,ConservaivGenie,ConservaivGenie,Tweet
49,GloriaJRomero,GOPChairwoman,Retweet
50,GOPChairwoman,GOPChairwoman,Tweet
51,theJohnPM,GOPChairwoman,Retweet
52,GOPChairwoman,GOPChairwoman,Tweet
53,PhilDeCarolis,govkristinoem,Retweet
54,govkristinoem,govkristinoem,Tweet
55,CarlosAndinoJr,ForeignPolicy,Retweet
56,ForeignPolicy,ForeignPolicy,Tweet
57,Sandylo44879924,Chicago1Ray,Retweet
58,Chicago1Ray,Chicago1Ray,Tweet
59,bpbogel,govkristinoem,Retweet
60,govkristinoem,govkristinoem,Tweet
61,Madison_OhioGOP,govkristinoem,Retweet
62,govkristinoem,govkristinoem,Tweet
63,Kevin26346219,Kevin26346219,Tweet
64,_Crazytwist_,_Crazytwist_,Tweet
65,Liquidnoose,GOPChairwoman,Retweet
66,GOPChairwoman,GOPChairwoman,Tweet
67,ReidStan,ReidStan,Tweet
68,davidthomas38,imUrB00gieman,Retweet
69,imUrB00gieman,imUrB00gieman,Tweet
70,RantsOutloud,rockonblaze,Retweet
71,rockonblaze,rockonblaze,Tweet
72,dougp1480,imUrB00gieman,Retweet
73,imUrB00gieman,imUrB00gieman,Tweet
74,ladder_36,govkristinoem,Retweet
75,govkristinoem,govkristinoem,Tweet
76,rockonblaze,JesseKellyDC,Reply
77,rockonblaze,BuckSexton,Reply
78,rockonblaze,ClayTravis,Reply
79,rockonblaze,LibLoserLogic,Reply
80,rockonblaze,frank_in_penn,Reply
81,rockonblaze,RantsOutloud,Reply
82,jacksfriend25,imUrB00gieman,Retweet
83,imUrB00gieman,imUrB00gieman,Tweet
84,EllisWa38451751,EllisWa38451751,Tweet
85,RealShaughn,GOPChairwoman,Retweet
86,GOPChairwoman,GOPChairwoman,Tweet
87,bgallagb,RepFranklin,Retweet
88,RepFranklin,RepFranklin,Tweet
89,CurtGehl,mikepompeo,Retweet
90,mikepompeo,mikepompeo,Tweet
91,_dailyscope,_dailyscope,Tweet
92,NYformerDem,HawleyMO,Retweet
93,HawleyMO,HawleyMO,Tweet
94,TimothyNMarsha1,imUrB00gieman,Retweet
95,imUrB00gieman,imUrB00gieman,Tweet
96,mlrupps,imUrB00gieman,Retweet
97,imUrB00gieman,imUrB00gieman,Tweet
98,HollyGo55,prdbowhunter,Reply
99,HollyGo55,rhonda_harbison,Reply
100,HollyGo55,CNNPolitics,Reply
101,HoosierFordMan,Cernovich,Retweet
102,Cernovich,Cernovich,Tweet
103,ConservaivGenie,ConservaivGenie,Tweet
104,RedlineSearch23,imUrB00gieman,Retweet
105,imUrB00gieman,imUrB00gieman,Tweet
106,gamerwirheart,BenjySarlin,Retweet
107,BenjySarlin,BenjySarlin,Tweet
108,avnblogfeed,avnblogfeed,Tweet
109,PGtwentytwo,imUrB00gieman,Retweet
110,imUrB00gieman,imUrB00gieman,Tweet
111,Slamphear4,imUrB00gieman,Retweet
112,imUrB00gieman,imUrB00gieman,Tweet
113,SAMUELUSA2,FRCdc,Retweet
114,FRCdc,FRCdc,Tweet
115,XG_YWW,michaelsobolik,Retweet
116,michaelsobolik,michaelsobolik,Tweet
117,mark71525711,tropicalswell,Reply
118,mark71525711,freehumanity911,Reply
119,CatOlvedo,mikepompeo,Retweet
120,mikepompeo,mikepompeo,Tweet
121,ThatHowieHowell,govkristinoem,Retweet
122,govkristinoem,govkristinoem,Tweet
123,MrFluffersMom,Cernovich,Retweet
124,Cernovich,Cernovich,Tweet
125,betsysewgood,imUrB00gieman,Retweet
126,imUrB00gieman,imUrB00gieman,Tweet
127,imUrB00gieman,imUrB00gieman,Tweet
128,VandenbergCo,mdubowitz,Retweet
129,mdubowitz,mdubowitz,Tweet
130,JaeMoff,govkristinoem,Retweet
131,govkristinoem,govkristinoem,Tweet
132,kkdonny1,Cernovich,Retweet
133,Cernovich,Cernovich,Tweet
134,LeeSutton4,thebigwave2002,Retweet
135,thebigwave2002,thebigwave2002,Tweet
136,CloverLilly007,Chicago1Ray,Retweet
137,Chicago1Ray,Chicago1Ray,Tweet
138,trump_fuckkk,Neil96420544,Reply
139,trump_fuckkk,DailyRippleMag,Reply
140,trump_fuckkk,Jim_Jordan,Reply
141,hipsher_jeffrey,Chicago1Ray,Retweet
142,Chicago1Ray,Chicago1Ray,Tweet
143,n6mdc,SoCalValleyGal,Retweet
144,SoCalValleyGal,SoCalValleyGal,Tweet
145,AShrugged2,michaelsobolik,Retweet
146,michaelsobolik,michaelsobolik,Tweet
147,CKossakoski,CKossakoski,Tweet
148,FlaMimi1,Det9651,Reply
149,FlaMimi1,PeggyWi69224915,Reply
150,DrunkButtertart,DrunkButtertart,Tweet
151,ce_dennis,InfoMenso,Reply
152,ce_dennis,BillKristol,Reply
153,HunterRay,Cernovich,Retweet
154,Cernovich,Cernovich,Tweet
155,bpbogel,govkristinoem,Retweet
156,govkristinoem,govkristinoem,Tweet
157,Madison_OhioGOP,govkristinoem,Retweet
158,govkristinoem,govkristinoem,Tweet
159,Kevin26346219,Kevin26346219,Tweet
160,_Crazytwist_,_Crazytwist_,Tweet
161,Liquidnoose,GOPChairwoman,Retweet
162,GOPChairwoman,GOPChairwoman,Tweet
163,ReidStan,ReidStan,Tweet
164,davidthomas38,imUrB00gieman,Retweet
165,imUrB00gieman,imUrB00gieman,Tweet
166,RantsOutloud,rockonblaze,Retweet
167,rockonblaze,rockonblaze,Tweet
168,dougp1480,imUrB00gieman,Retweet
169,imUrB00gieman,imUrB00gieman,Tweet
170,ladder_36,govkristinoem,Retweet
171,govkristinoem,govkristinoem,Tweet
172,rockonblaze,JesseKellyDC,Reply
173,rockonblaze,BuckSexton,Reply
174,rockonblaze,ClayTravis,Reply
175,rockonblaze,LibLoserLogic,Reply
176,rockonblaze,frank_in_penn,Reply
177,rockonblaze,RantsOutloud,Reply
178,jacksfriend25,imUrB00gieman,Retweet
179,imUrB00gieman,imUrB00gieman,Tweet
180,EllisWa38451751,EllisWa38451751,Tweet
181,RealShaughn,GOPChairwoman,Retweet
182,GOPChairwoman,GOPChairwoman,Tweet
183,bgallagb,RepFranklin,Retweet
184,RepFranklin,RepFranklin,Tweet
185,CurtGehl,mikepompeo,Retweet
186,mikepompeo,mikepompeo,Tweet
187,_dailyscope,_dailyscope,Tweet
188,NYformerDem,HawleyMO,Retweet
189,HawleyMO,HawleyMO,Tweet
190,TimothyNMarsha1,imUrB00gieman,Retweet
191,imUrB00gieman,imUrB00gieman,Tweet
192,mlrupps,imUrB00gieman,Retweet
193,imUrB00gieman,imUrB00gieman,Tweet
194,HollyGo55,prdbowhunter,Reply
195,HollyGo55,rhonda_harbison,Reply
196,HollyGo55,CNNPolitics,Reply
197,HoosierFordMan,Cernovich,Retweet
198,Cernovich,Cernovich,Tweet
199,ConservaivGenie,ConservaivGenie,Tweet
200,RedlineSearch23,imUrB00gieman,Retweet
201,imUrB00gieman,imUrB00gieman,Tweet
202,gamerwirheart,BenjySarlin,Retweet
203,BenjySarlin,BenjySarlin,Tweet
204,avnblogfeed,avnblogfeed,Tweet
205,PGtwentytwo,imUrB00gieman,Retweet
206,imUrB00gieman,imUrB00gieman,Tweet
207,Slamphear4,imUrB00gieman,Retweet
208,imUrB00gieman,imUrB00gieman,Tweet
209,SAMUELUSA2,FRCdc,Retweet
210,FRCdc,FRCdc,Tweet
211,XG_YWW,michaelsobolik,Retweet
212,michaelsobolik,michaelsobolik,Tweet
213,mark71525711,tropicalswell,Reply
214,mark71525711,freehumanity911,Reply
215,CatOlvedo,mikepompeo,Retweet
216,mikepompeo,mikepompeo,Tweet
217,ThatHowieHowell,govkristinoem,Retweet
218,govkristinoem,govkristinoem,Tweet
219,MrFluffersMom,Cernovich,Retweet
220,Cernovich,Cernovich,Tweet
221,betsysewgood,imUrB00gieman,Retweet
222,imUrB00gieman,imUrB00gieman,Tweet
223,imUrB00gieman,imUrB00gieman,Tweet
224,VandenbergCo,mdubowitz,Retweet
225,mdubowitz,mdubowitz,Tweet
226,JaeMoff,govkristinoem,Retweet
227,govkristinoem,govkristinoem,Tweet
228,kkdonny1,Cernovich,Retweet
229,Cernovich,Cernovich,Tweet
230,LeeSutton4,thebigwave2002,Retweet
231,thebigwave2002,thebigwave2002,Tweet
232,CloverLilly007,Chicago1Ray,Retweet
233,Chicago1Ray,Chicago1Ray,Tweet
234,trump_fuckkk,Neil96420544,Reply
235,trump_fuckkk,DailyRippleMag,Reply
236,trump_fuckkk,Jim_Jordan,Reply
237,hipsher_jeffrey,Chicago1Ray,Retweet
238,Chicago1Ray,Chicago1Ray,Tweet
239,n6mdc,SoCalValleyGal,Retweet
240,SoCalValleyGal,SoCalValleyGal,Tweet
241,AShrugged2,michaelsobolik,Retweet
242,michaelsobolik,michaelsobolik,Tweet
243,CKossakoski,CKossakoski,Tweet
244,FlaMimi1,Det9651,Reply
245,FlaMimi1,PeggyWi69224915,Reply
246,DrunkButtertart,DrunkButtertart,Tweet
247,ce_dennis,InfoMenso,Reply
248,ce_dennis,BillKristol,Reply
249,HunterRay,Cernovich,Retweet
250,Cernovich,Cernovich,Tweet
251,chynna67,HawleyMO,Retweet
252,HawleyMO,HawleyMO,Tweet
253,pkboxing,JohnFugelsang,Reply
254,harrygato,TheDemocrats,Reply
255,harrygato,JoeBiden,Reply
256,debi_ray,mikepompeo,Retweet
257,mikepompeo,mikepompeo,Tweet
258,Commentary,Commentary,Tweet
259,ken_chidera,jihadwatchRS,Retweet
260,jihadwatchRS,jihadwatchRS,Tweet
261,caunkle,newsmax,Retweet
262,newsmax,newsmax,Tweet
263,ConservaivGenie,ConservaivGenie,Tweet
264,BasketOfAwesome,BasketOfAwesome,Tweet
265,frattigiovanni,mikepompeo,Retweet
266,mikepompeo,mikepompeo,Tweet
267,XG_YWW,michaelsobolik,Retweet
268,michaelsobolik,michaelsobolik,Tweet
269,pkboxing,ProfGIGISCICCH,Reply
270,pkboxing,Boxer751,Reply
271,JustPay4It,RCamposDuffy,Reply
272,TrumpZionists,NikkiHaley,Retweet
273,NikkiHaley,NikkiHaley,Tweet
274,IAMMGraham,POTUS,Mention
275,carolynmondrago,govkristinoem,Retweet
276,govkristinoem,govkristinoem,Tweet
277,mountain_R1,mikepompeo,Retweet
278,mikepompeo,mikepompeo,Tweet
279,Phreequeshow2,Cernovich,Retweet
280,Cernovich,Cernovich,Tweet
281,KMChiver,cnn,Mention
282,KMChiver,MSNBC,Mention
283,CrissCrosse,Chicago1Ray,Retweet
284,Chicago1Ray,Chicago1Ray,Tweet
285,CosnerKathy,Cernovich,Retweet
286,Cernovich,Cernovich,Tweet
287,peaches10549,Cernovich,Retweet
288,Cernovich,Cernovich,Tweet
289,jpjpgin,RepFranklin,Retweet
290,RepFranklin,RepFranklin,Tweet
291,CharlesFolda,CNNPolitics,Reply
292,HurstDsmith3347,Thomas1774Paine,Retweet
293,Thomas1774Paine,Thomas1774Paine,Tweet
294,emkhere,mikepompeo,Retweet
295,mikepompeo,mikepompeo,Tweet
296,annmarie,annmarie,Tweet
297,SteveMonday12,govkristinoem,Retweet
298,govkristinoem,govkristinoem,Tweet
299,Patrick96952956,Patrick96952956,Tweet
300,avnblogfeed,avnblogfeed,Tweet
301,debby_hoyman,govkristinoem,Retweet
302,govkristinoem,govkristinoem,Tweet
303,carolynmondrago,govkristinoem,Retweet
304,govkristinoem,govkristinoem,Tweet
305,mountain_R1,mikepompeo,Retweet
306,mikepompeo,mikepompeo,Tweet
307,Phreequeshow2,Cernovich,Retweet
308,Cernovich,Cernovich,Tweet
309,KMChiver,cnn,Mention
310,KMChiver,MSNBC,Mention
311,CrissCrosse,Chicago1Ray,Retweet
312,Chicago1Ray,Chicago1Ray,Tweet
313,CosnerKathy,Cernovich,Retweet
314,Cernovich,Cernovich,Tweet
315,peaches10549,Cernovich,Retweet
316,Cernovich,Cernovich,Tweet
317,jpjpgin,RepFranklin,Retweet
318,RepFranklin,RepFranklin,Tweet
319,CharlesFolda,CNNPolitics,Reply
320,HurstDsmith3347,Thomas1774Paine,Retweet
321,Thomas1774Paine,Thomas1774Paine,Tweet
322,emkhere,mikepompeo,Retweet
323,mikepompeo,mikepompeo,Tweet
324,annmarie,annmarie,Tweet
325,SteveMonday12,govkristinoem,Retweet
326,govkristinoem,govkristinoem,Tweet
327,Patrick96952956,Patrick96952956,Tweet
328,avnblogfeed,avnblogfeed,Tweet
329,debby_hoyman,govkristinoem,Retweet
330,govkristinoem,govkristinoem,Tweet
331,thoolou,Chicago1Ray,Retweet
332,Chicago1Ray,Chicago1Ray,Tweet
333,KevinDSamuel,KevinDSamuel,Tweet
334,SoCalValleyGal,SoCalValleyGal,Tweet
335,edupeepy1,HananyaNaftali,Retweet
336,HananyaNaftali,HananyaNaftali,Tweet
337,msunitedam,msunitedam,Tweet
338,beansi50,votevets,Retweet
339,votevets,votevets,Tweet
340,patricia2378,patricia2378,Tweet
341,Cadieux1Cathey,RepMikeGarcia,Retweet
342,RepMikeGarcia,RepMikeGarcia,Tweet
343,cindygracie,StandForAmerica,Retweet
344,StandForAmerica,StandForAmerica,Tweet
345,RathodKh,jihadwatchRS,Retweet
346,jihadwatchRS,jihadwatchRS,Tweet
347,Crash_the_Flash,Cernovich,Retweet
348,Cernovich,Cernovich,Tweet
349,BrownMarelina,Thomas1774Paine,Retweet
350,Thomas1774Paine,Thomas1774Paine,Tweet
351,podcast_kitchen,govkristinoem,Retweet
352,govkristinoem,govkristinoem,Tweet
353,kornegay_danna,WayneDupreeShow,Retweet
354,WayneDupreeShow,WayneDupreeShow,Tweet
355,o0oleedleleeo0o,mikepompeo,Retweet
356,mikepompeo,mikepompeo,Tweet
357,Without_Crust,Thomas1774Paine,Retweet
358,Thomas1774Paine,Thomas1774Paine,Tweet
359,winningatmylife,Cernovich,Retweet
360,Cernovich,Cernovich,Tweet
361,bubbahaas,seancaseyshow,Retweet
362,seancaseyshow,seancaseyshow,Tweet
363,HarryBo96890762,govkristinoem,Retweet
364,govkristinoem,govkristinoem,Tweet
365,LadyBoo72,JeffreyAWillia4,Reply
366,LadyBoo72,MarshaBlackburn,Reply
367,jimmichael720,jimmichael720,Tweet
368,AngelaKorras,billroggio,Retweet
369,billroggio,billroggio,Tweet
370,michaelsobolik,michaelsobolik,Tweet
371,TheKathyHurley,swan4congress,Retweet
372,swan4congress,swan4congress,Tweet
373,Maryell04466305,RepFranklin,Retweet
374,RepFranklin,RepFranklin,Tweet
375,lettywho1,lettywho1,Tweet
376,LoraBethann,HawleyMO,Retweet
